CurveID,CurveName,DataSource,Commodity,ProductOrMarket,Location,ContractType,PriceType,Granularity,PublicationFrequency,PublicationCalendar,Currency,CurveUnit,CurveType,UsageType,Description,OwnerRole,Destination,CurveStatus,SettlementTime,ProductCode,CreatedBy,CreatedDateTimeUtc,GMACurveID,TimeOfDay,Timezone,SurfaceContractType,SurfaceStrikeType
1011,APX NL Power DA OffPeak Daily EUR MWh,APX,Power,Dutch Power,Netherlands,Day Ahead,Exchange Settle,Daily,Daily,,EUR,MWh,Settlement Price,EOD,,ProductControl,ArcTimeSeries,Active,,,GAZPROMUK\svc_arcservice_prod,41761.66325,,Off Peak,,,
1012,APX NL Power DA Peak Daily EUR MWh,APX,Power,Dutch Power,Netherlands,Day Ahead,Exchange Settle,Daily,Daily,,EUR,MWh,Settlement Price,EOD,,ProductControl,ArcTimeSeries,Active,,,GAZPROMUK\svc_arcservice_prod,41761.66327,,Peak,,,
1009,APX NL Power DA Base Daily EUR MWh,APX,Power,Dutch Power,Netherlands,Day Ahead,Exchange Settle,Daily,Daily,,EUR,MWh,Settlement Price,EOD,,ProductControl,ArcTimeSeries,Active,,,GAZPROMUK\svc_arcservice_prod,41761.66322,3244842,Base,,,
5678,APX Power HUB NL Price,APX,Power,Dutch Power,Netherlands,Day Ahead,Exchange Settle,Daily,Daily,,EUR,MWh,Settlement Price,EOD,,ProductControl,ArcTimeSeries,Active,,,gazpromuk\svc_arcservice_prod,42634.40628,,Base,,,
1010,APX NL Power DA Hourly EUR MWh,APX,Power,Dutch Power,Netherlands,Hourly,Exchange Settle,Hourly,Daily,,EUR,MWh,Settlement Price,EOD,,ProductControl,ArcTimeSeries,Active,,,GAZPROMUK\svc_arcservice_prod,41761.66324,20965,Base,,,
839,Settle_APX_SPOT_SMP_SELL_G_H_NBP.GBP,APX,Natural Gas,NBP,UK,Cashout Charge,Offer,Daily,Daily,,GBP,therm,Settlement Price,EOD,,ProductControl,ArcTimeSeries,Active,,,GAZPROMUK\svc_arcservice_prod,41573.16696,,Base,,,
840,Settle_APX_SPOT_SAP_G_H_NBP.GBP,APX,Natural Gas,NBP,UK,Cashout Charge,Mid,Daily,Daily,,GBP,therm,Settlement Price,EOD,,ProductControl,ArcTimeSeries,Active,,,GAZPROMUK\svc_arcservice_prod,41573.16702,,Base,,,
838,Settle_APX_SPOT_SMP_BUY_G_H_NBP.GBP,APX,Natural Gas,NBP,UK,Cashout Charge,Bid,Daily,Daily,,GBP,therm,Settlement Price,EOD,,ProductControl,ArcTimeSeries,Active,,,GAZPROMUK\svc_arcservice_prod,41573.16696,,Base,,,
6628,APX UK Power DA Base Daily GBP MWh,APX,Power,UK Power,UK,Day Ahead,Exchange Settle,Daily,Daily,,GBP,MWh,Settlement Price,EOD,,ProductControl,ArcTimeSeries,Active,,,gazpromuk\svc_arcservice_prod,43056.91918,,Base,,,
9999999,APX UK Power DA HH GBP MWh,APX,Power,UK Power,UK,Day Ahead,Exchange Settle,30-min,Daily,,GBP,MWh,Settlement Price,Analysis,,FrontOffice,ArcTimeSeries,Active,,,gazpromuk\svc_arcservice_prod,43056.91918,,Base,,,
3541,P_APX_UK_RPD_30Min.EUR,APX,Power,UK Power,UK,Spot,Exchange Settle,30-min,Daily,,EUR,MWh,Settlement Price,Analysis,Setup for Power Ops,FrontOffice,ArcTimeSeries,Active,,,gazpromuk\svc_arcservice_prod,42088.90687,,Base,,,
3797,P_APX_UK_RPD_30Min.GBP,APX,Power,UK Power,UK,Spot,Exchange Settle,30-min,Daily,,GBP,MWh,Settlement Price,EOD,APX RPD 30 min granularity curve in GBP MWh,ProductControl,ArcTimeSeries,Active,,,gazpromuk\svc_arcservice_prod,42123.45323,1344664,Base,,,
3795,P_APX_UK_DA_30Min.GBP,APX,Power,UK Power,UK,Spot,Exchange Settle,30-min,Daily,,GBP,MWh,Settlement Price,Analysis,UK 30 Min Day ahead market curve from APX,FrontOffice,ArcTimeSeries,Active,,,gazpromuk\svc_arcservice_prod,42123.44665,,Base,,,
3542,P_APX_UK_HH_30Min.EUR,APX,Power,UK Power,UK,Spot,Exchange Settle,30-min,Daily,,EUR,MWh,Settlement Price,Analysis,Setup for Power Ops,FrontOffice,ArcTimeSeries,Active,,,gazpromuk\svc_arcservice_prod,42088.90691,,Base,,,
3796,P_APX_UK_HH_30Min.GBP,APX,Power,UK Power,UK,Spot,Exchange Settle,30-min,Daily,,GBP,MWh,Settlement Price,Analysis,APX UK HH prices in 30 min granularity,FrontOffice,ArcTimeSeries,Active,,,gazpromuk\svc_arcservice_prod,42123.4532,1345208,Base,,,
